Date,TREX,STMP,ENPH,IPGP,NICE,TNC,MANH,CYBR,SNA,PLNT,THO,AMN,VAR,WEX,RHI,VFSUX,VHYAX,VOO
2019-01-31,33.30523790631975,170.36476207914808,6.151428608667283,126.28190503801618,106.70523834228516,55.8471429007394,46.149047306605745,78.08904738653274,159.8595239548456,57.28952389671689,61.35714376540411,60.90142858596075,124.98333449590774,154.30428713843935,59.144286201113744,10.456190381731306,,239.05047680082777
2019-02-28,37.5057891042609,167.616843775699,7.678421070701198,148.24736745733964,114.03842122931229,61.96105254323859,52.99789488942999,97.12631546823602,159.6152632863898,58.11894768162777,66.09105200516551,58.57526317395662,132.3915790758635,170.57105134662828,65.99578977885999,10.508947573210063,25.569333267211913,253.02368324681333
2019-03-31,34.254285630725676,86.65809522356305,8.990952355521065,150.7433333623977,117.40047672816685,62.056190127418155,54.485713958740234,111.73190452938988,157.01523771740142,66.1009521484375,62.81285694667271,47.13190496535528,136.68428693498885,182.1961909702846,65.42571440197173,10.550000099908738,25.80523799714588,257.5923781622024
2019-04-30,36.277142660958425,80.93476177397228,9.794761884780158,170.64666748046875,130.0019040788923,64.67428516206287,59.56047603062221,121.6076180594308,162.1904761904762,72.70523870558966,66.5985723223005,49.301904769170854,137.4219033377511,202.4319065638951,65.93571363176618,10.579047520955404,26.316190447126115,266.11666288829986
2019-05-31,31.31931816447865,50.626364101063125,14.475454677234996,144.37727217240766,136.9863641912287,61.95272705771706,66.12090839039196,129.3186361139471,162.71818334406072,76.32409043745561,59.26318168640137,50.765908848155625,131.1845456903631,200.82091036709872,57.253181804310195,10.608181780034846,25.82499998266047,262.0568154074929
2019-06-30,34.204749488830565,39.84200038909912,17.138000011444092,138.3999988555908,137.92400054931642,60.38650035858154,67.52749977111816,128.6940010070801,163.03249969482422,77.04950065612793,56.0125,52.19000034332275,132.289501953125,200.45599975585938,55.7939998626709,10.686000061035156,26.06200008392334,265.6825012207031
2019-07-31,35.851590936834164,46.865909056230024,20.413636120882902,140.4195452603427,146.9431818181818,64.43863660638982,75.09727269952947,136.81681927767667,156.781362360174,76.7350002635609,58.27136369185014,54.595908945257015,132.25636326182973,215.77409293434837,58.80227210304954,10.698181629180908,26.67363626306707,274.52954656427556
2019-08-31,41.539772207086735,58.00136375427246,31.6240910616788,120.65000013871627,151.96636199951172,68.57227290760387,83.63409007679333,118.78681772405452,148.6386358087713,71.44636258212003,48.118181922219016,55.03363591974432,109.56636359474875,200.1931811246005,55.2104549407959,10.75409104607322,25.773181915283203,265.94363819469106
2019-09-30,43.917250061035155,72.4489990234375,24.772000122070313,136.50900077819824,149.14650039672853,70.16250038146973,81.91800041198731,104.6259994506836,155.6665008544922,62.49849987030029,50.86649990081787,56.50599956512451,114.70750045776367,205.27000122070314,55.04250011444092,10.73199987411499,26.724499893188476,274.04249877929686
2019-10-31,44.558695419974946,79.84304345172384,23.60869556924571,133.0426081781802,150.34173716669497,69.83869569197945,80.50434775974439,102.04630412226138,158.65652067764947,59.9552176102348,58.37782602724822,57.03260852979577,115.5513046928074,200.7160863461702,55.3160868105681,10.745652032935102,26.5769565416419,272.90522036345106
2019-11-30,43.6564998626709,87.09099960327148,19.33950033187866,142.26600036621093,154.74499969482423,75.96200027465821,78.14900016784668,115.70649948120118,164.04000015258788,69.08500003814697,65.64100017547608,59.94350032806396,127.77550010681152,198.06999969482422,58.167999839782716,10.726999759674072,27.505999946594237,285.00349578857424
2019-12-31,43.83499981108166,83.61809539794922,25.086190632411412,143.0347602480934,153.13714163643974,78.16238040015811,79.75857216971261,120.02333323160808,167.05285717192152,73.9104755946568,70.12619036719913,60.661905016217915,140.5661889939081,202.69285801478796,60.951904841831755,10.723333313351585,27.992380868820916,291.7466663178943
2020-01-31,48.25476201375326,83.17095147995721,31.068095706758044,140.1952405657087,168.7347615559896,81.2490474155971,84.24190521240234,135.7414281935919,166.41999889555433,78.31809488932292,77.46714237758091,65.1038091750372,146.6857147216797,220.56904820033483,62.31809543427967,10.757142793564569,28.19238081432524,300.43095325288317
2020-02-29,50.644210614656146,109.41052727950246,45.07105255126953,136.63105251914575,173.64789460834703,80.62684189645867,77.91157893130654,124.21526256360505,156.48421116879112,82.34421017295436,82.85210579320004,72.4794737163343,140.16157893130654,217.58736861379523,57.89789460834704,10.805263167933413,27.709473760504473,300.8084202816612
2020-03-31,42.26818197423761,121.53045446222478,37.635909427296035,116.75818183205344,143.7645457874645,60.66454575278542,55.37681770324707,88.00863578102805,122.1681830666282,50.638181859796696,50.16681809858842,68.12318108298562,111.15272730047053,127.63727361505681,43.078635996038265,10.60590900074352,22.14636343175715,243.0377287431197
2020-04-30,41.39785693940662,141.22761935279482,37.90476208641415,117.41285741896857,159.69380987258185,59.69000026157924,56.54000000726609,89.6519045148577,114.76476215180897,53.07238115583147,51.41333298456101,54.097143082391646,108.31142897832962,111.09095364525204,42.071904863630024,10.639999889192127,22.70000003633045,253.13619123186385
2020-05-31,58.01224975585937,190.40400009155275,56.49949989318848,147.9885009765625,175.52200088500976,57.2589994430542,76.23549957275391,101.10799980163574,127.51049995422363,58.68749923706055,75.1110008239746,43.25850009918213,117.47950096130371,134.07999954223632,47.00650005340576,10.77150001525879,23.176500034332275,268.05549774169924
2020-06-30,60.472272699529476,181.89727158979937,49.31090944463556,161.1840910478072,189.65363589200106,65.1468185078014,89.89000008322976,101.18045460094105,138.39772727272728,67.9109093059193,106.69772685657848,46.01045452464711,121.44545433738016,165.06227181174538,53.043636322021484,10.91045448996804,24.408181710676715,285.47045482288706
2020-07-31,65.94477272033691,218.37454570423472,57.0081821788441,171.274545842951,197.57363614169034,66.0054541501132,93.65727268565784,111.15545446222478,138.86636421897194,56.876818050037734,109.39181726629084,48.877727335149594,126.95727296309038,160.9140923239968,52.14454529502175,10.969090765172785,24.293636322021484,293.9972714510831
2020-08-31,71.98928615025112,270.98476155598956,72.90047600155785,159.44238063267298,221.12952386765252,69.21047610328311,95.18523842947823,110.34476143973214,149.31761896042596,55.80523808797201,107.63190496535529,53.46142832438151,173.1471419561477,160.91142781575522,54.81047639392671,10.99476178487142,25.11476198832194,311.2590491885231
2020-09-30,69.7711900983538,227.24857003348214,71.47857193719773,164.11333356584822,220.13809422084265,63.18904767717634,95.2104757399786,101.51023755754743,147.75952511742003,59.84285681588309,93.43142881847564,55.76095235915411,172.96666753859748,148.0952388218471,52.85904766264416,10.996190388997396,24.688095274425688,309.1757114955357
2020-10-31,75.59954625909978,257.9031802090731,103.88727257468484,184.92863672429866,231.21636199951172,61.700454538518734,97.63090896606445,109.39636369185014,157.1772724498402,64.32409026406027,94.17681780728427,63.85227307406339,172.04545454545453,144.1031820123846,54.693181471391156,10.985454255884344,24.874545444141734,313.229999889027
2020-11-30,72.69066569010417,200.3593322753906,117.78066660563151,200.0913340250651,239.97466634114582,64.43666712443034,92.94600016276041,105.00599975585938,168.17400004069012,68.59599965413412,88.10333353678385,63.11933314005534,173.3806640625,159.85533345540364,59.56666717529297,10.985999806722004,25.87800013224284,323.35333455403645
